Cuenta_Twitter,Usuario,Texto,Creado en,Retweets,Likes
Bedbitz_,GerGarciaGrova,"🚨#River Tiene en carpeta al jugador e intereses avanzado por  ''Paul Pogba''

👉🏾#Juventus No contaria con el tras su problema de dopaje a inicios de 2023

📌N'Golo Kanté estaria muy involucrado debido a su cercania con Marcelo Gallardo https://t.co/FkFYPA4q79",Mon Oct 07 23:47:37 +0000 2024,86,2927
DANTE_eloficial,Dante,"JESÚS es mi salvador
Mi vida
Mi paz
Mi alegría
Mi guía
Mi proveedor
Mi maestro
Mi seguridad
Mi victoria
Mi Salvador
Mi Rey
Mi Señor
Mi pan
Mi agua
Mi redentor
Mi amigo
Mi ayuda
Mi roca
Mi pastor
Mi refugio
Mi esperanza
Mi salvación
Mi eternidad
Mi escudo
Mi armadura
¡Mi todo! https://t.co/EGTTP0CGCw",Mon Oct 07 23:10:26 +0000 2024,1177,11998
FiscaliaEcuador,Fiscalía Ecuador,"#AHORA | #CasoMetástasis: con base en el dictamen acusatorio debidamente fundamentado por #FiscalíaEc, juez Manuel Cabrera llama a juicio a los siguientes procesados por presunta #DelincuenciaOrganizada. ⬇️ https://t.co/U4ANfgytEj",Mon Oct 07 23:23:02 +0000 2024,215,496
recisneros,Renato Cisneros,"Lima, proxeneta mundial. https://t.co/YCvSn794RT",Mon Oct 07 23:07:40 +0000 2024,441,1635
LaDefensaEc,LaDefensa,"YO NUNCA VI A JAN EN LAS REUNIONES
La abogada Martha Mera, exadministradora del contrato de los fotorradares en el Municipio de Manta con el consorcio Tránsito Seguro, desmiente a la Alcaldesa Marciana Valdivieso y asegura que Jan Topic nunca participó de reuniones https://t.co/7R4fOjCyfi",Mon Oct 07 23:26:49 +0000 2024,31,62
INCOsky,INCOsky,"Mira que Dalas me parece que hace muchas cosas mal y actualmente siento que actúa más desde la rabia que otra cosa.

Pero que tan mierda tienes que ser, para compartir esta foto que lleva rulando años de un video sin ninguna mala pretensión, de 2 hermanos haciendo yoga en un https://t.co/NUEOpksyXW",Mon Oct 07 23:18:18 +0000 2024,49,1458
EmergenciasEc,Emergencias Ec,"#DenunciaCiudadana
Por favor @ATM_Transito en los alrededores del hospital Guayaquil colocan piedras, bancos, cualquier cosa y te piden por adelantado $2 para cuidarte el carro. https://t.co/0n0dqP9m65",Mon Oct 07 23:04:36 +0000 2024,351,696
c4jimenez,Carlos Jiménez,"PALIZA a LAS RATAS
Así le fue a estos 2 tipos.
Patadas, guamazos, azotones…
Se metieron a la Plaza de la Tecnología en @AlcCuauhtemocMx a robar.
Los descubrieron llevándose un reloj y un cel…
Y así los reventaron.
@SSC_CDMX llegó por ellos.

Más imágenes #C4EnAlerta https://t.co/V5aCICoB9F",Mon Oct 07 23:33:10 +0000 2024,1307,12474
MarceloLarin1,MARCELO LARIN,"He escuchado que Bukele mandara militares a Haití, les deseo la mejor de las protecciones a los soldados que arriesgaran su vida, para que le aplaudan a Nayib y él se lleve todos los créditos desde el sofa de su casa viendo como los del salario mínimo se arriesgan, para el https://t.co/YoS0OKkCEF",Mon Oct 07 23:31:14 +0000 2024,24,208
golesendir_,Goles en Directo,"El cuerpo técnico de la selección colombiana se asesoró con el DT Flabio Torres (que viene de dirigir a Always Ready y está a cargo de Nacional de Potosí) para planear el partido en El Alto.

¿Qué recomendaciones hizo Flabio? Levantamos el teléfono y le marcamos. https://t.co/JGIrFGnSNx",Mon Oct 07 23:56:59 +0000 2024,71,2042
LANACION,LA NACION,"Tras la polémica, Yuyito González desmintió que construyeran un gimnasio para ella en la Quinta de Olivos: “No me armaron nada” https://t.co/9Et5BCqQdf https://t.co/MdW0Ey8L3o",Mon Oct 07 23:33:50 +0000 2024,9,30
